pipeline_type,pipeline_name,config,run_id,auc,accuracy,final_train_loss,best_val_loss,epochs_trained,noise_type,noise_level
P1,p1_classical_dropout_0.0,dropout_0.0,1,0.9380524508729636,86.11111111111111,0.3734476054087281,0.275806314750191,14,,
P1,p1_classical_dropout_0.0,dropout_0.0,10,0.932628387756593,83.97435897435898,0.4119344588518143,0.2547585325082764,21,,
P1,p1_classical_dropout_0.0,dropout_0.0,2,0.9447549127036305,87.6068376068376,0.3932756550461054,0.2644478076630655,21,,
P1,p1_classical_dropout_0.0,dropout_0.0,3,0.939111695521952,86.96581196581197,0.3823895840346813,0.2633365358513616,21,,
P1,p1_classical_dropout_0.0,dropout_0.0,4,0.9469099276791585,87.3931623931624,0.3769125255793333,0.25611323148340864,18,,
P1,p1_classical_dropout_0.0,dropout_0.0,5,0.9326649134341443,84.82905982905983,0.39164682718366384,0.2647220019853729,16,,
P1,p1_classical_dropout_0.0,dropout_0.0,6,0.9360070129300898,84.82905982905983,0.39071028300374744,0.2711620648966773,17,,
P1,p1_classical_dropout_0.0,dropout_0.0,7,0.9347651398933451,82.90598290598291,0.4100150258541107,0.273643151144771,18,,
P1,p1_classical_dropout_0.0,dropout_0.0,8,0.9347286142157937,87.6068376068376,0.3697118460983038,0.2556715776958941,25,,
P1,p1_classical_dropout_0.0,dropout_0.0,9,0.9358609102198846,86.53846153846155,0.4451196081638336,0.27580555558533354,11,,
P1,p1_classical_dropout_0.1,dropout_0.1,1,0.9291767112279933,83.33333333333334,0.4143670753985643,0.27849984481273327,13,,
P1,p1_classical_dropout_0.1,dropout_0.1,10,0.9369749433851998,86.75213675213675,0.43271899413317444,0.27825731373227697,16,,
P1,p1_classical_dropout_0.1,dropout_0.1,2,0.9326649134341443,85.47008547008546,0.39926991985738275,0.2572600192472558,13,,
P1,p1_classical_dropout_0.1,dropout_0.1,3,0.9321718167872014,84.61538461538461,0.40033193128183486,0.2546884905519512,18,,
P1,p1_classical_dropout_0.1,dropout_0.1,4,0.9312404120096429,86.53846153846155,0.4134757300168276,0.2720871296820833,14,,
P1,p1_classical_dropout_0.1,dropout_0.1,5,0.9426729490832055,87.3931623931624,0.41556876777112484,0.25738410461995315,15,,
P1,p1_classical_dropout_0.1,dropout_0.1,6,0.941303236175031,82.26495726495726,0.4348495217561722,0.2621489392648287,15,,
P1,p1_classical_dropout_0.1,dropout_0.1,7,0.9390203813280736,85.04273504273505,0.40736724857240914,0.2517683414728655,24,,
P1,p1_classical_dropout_0.1,dropout_0.1,8,0.931550880268829,80.12820512820514,0.41668436032533646,0.296334001043921,12,,
P1,p1_classical_dropout_0.1,dropout_0.1,9,0.9443896559281175,86.96581196581197,0.40099010023474696,0.24651119288276224,17,,
P1,p1_classical_dropout_0.2,dropout_0.2,1,0.932573599240266,81.62393162393163,0.4039289535060525,0.25695979991167617,18,,
P1,p1_classical_dropout_0.2,dropout_0.2,10,0.9363540068668273,86.32478632478633,0.42733313180506227,0.2588647987748332,17,,
P1,p1_classical_dropout_0.2,dropout_0.2,2,0.9369566805464242,87.3931623931624,0.37797339008376,0.2597056239542058,25,,
P1,p1_classical_dropout_0.2,dropout_0.2,3,0.9433304112791292,85.25641025641025,0.43978271539509295,0.2541747131275342,19,,
P1,p1_classical_dropout_0.2,dropout_0.2,4,0.9315508802688289,85.25641025641025,0.3998150585368276,0.2715448779053986,13,,
P1,p1_classical_dropout_0.2,dropout_0.2,5,0.9272956388341003,79.48717948717949,0.42771199682354927,0.275802026174086,11,,
P1,p1_classical_dropout_0.2,dropout_0.2,6,0.9320622397545475,86.32478632478633,0.41002259312570094,0.27040857195799406,13,,
P1,p1_classical_dropout_0.2,dropout_0.2,7,0.9380159251954124,86.75213675213675,0.38919700248539446,0.2695049395209507,19,,
P1,p1_classical_dropout_0.2,dropout_0.2,8,0.9402257286872672,84.1880341880342,0.43113688433915376,0.2660975745290189,16,,
P1,p1_classical_dropout_0.2,dropout_0.2,9,0.935513916283147,86.11111111111111,0.4386316269636154,0.26977759018636255,18,,
P1,p1_classical_dropout_0.3,dropout_0.3,1,0.9332858499525166,85.47008547008546,0.4174223376065493,0.2821338061544606,10,,
P1,p1_classical_dropout_0.3,dropout_0.3,10,0.925761560376945,82.90598290598291,0.4161577209234238,0.2774183595525649,15,,
P1,p1_classical_dropout_0.3,dropout_0.3,2,0.9363357440280518,84.4017094017094,0.4178726034983993,0.2648824443886577,19,,
P1,p1_classical_dropout_0.3,dropout_0.3,3,0.9204470742932281,79.7008547008547,0.4214392883181572,0.2683887766633073,25,,
P1,p1_classical_dropout_0.3,dropout_0.3,4,0.9294506538096281,81.62393162393163,0.4676478718668222,0.2696904203227913,18,,
P1,p1_classical_dropout_0.3,dropout_0.3,5,0.9369932062239755,86.75213675213675,0.4333449536561966,0.2688316421528511,21,,
P1,p1_classical_dropout_0.3,dropout_0.3,6,0.9309299437504566,82.90598290598291,0.4262450655549765,0.25220819866894195,20,,
P1,p1_classical_dropout_0.3,dropout_0.3,7,0.9361713784790707,87.17948717948718,0.4142192263305187,0.25856177002081976,22,,
P1,p1_classical_dropout_0.3,dropout_0.3,8,0.9204653371320038,85.47008547008546,0.47736543910205365,0.30149344102863,10,,
P1,p1_classical_dropout_0.3,dropout_0.3,9,0.9358243845423332,84.82905982905983,0.39899796263873577,0.26952182797386365,18,,
P1,p1_classical_dropout_0.4,dropout_0.4,1,0.9413762875301337,87.17948717948718,0.4335248790830374,0.25669955714564663,25,,
P1,p1_classical_dropout_0.4,dropout_0.4,10,0.9325188107239389,84.61538461538461,0.41125317258387806,0.25178088820607897,23,,
P1,p1_classical_dropout_0.4,dropout_0.4,2,0.9292680254218716,83.76068376068376,0.43383994182944297,0.26636828741003926,21,,
P1,p1_classical_dropout_0.4,dropout_0.4,3,0.9367375264811163,85.8974358974359,0.424353337559849,0.26306978617246973,19,,
P1,p1_classical_dropout_0.4,dropout_0.4,4,0.923186500109577,83.54700854700855,0.44983330520987513,0.30101247946731746,11,,
P1,p1_classical_dropout_0.4,dropout_0.4,5,0.9366644751260136,83.33333333333334,0.43257162915170194,0.2795841077561764,14,,
P1,p1_classical_dropout_0.4,dropout_0.4,6,0.9291767112279933,83.33333333333334,0.42327040911465885,0.2854755957446554,19,,
P1,p1_classical_dropout_0.4,dropout_0.4,7,0.9390386441668492,85.8974358974359,0.41864308872818945,0.2424713401723078,25,,
P1,p1_classical_dropout_0.4,dropout_0.4,8,0.9340711520198699,86.32478632478633,0.4397245315685868,0.2821443147464272,15,,
P1,p1_classical_dropout_0.4,dropout_0.4,9,0.9266381766381767,85.25641025641025,0.4259628184065223,0.28009601852938754,13,,
