pipeline_type,pipeline_name,config,run_id,auc,accuracy,final_train_loss,best_val_loss,epochs_trained,noise_type,noise_level
P1,p1_classical_dropout_0.0,dropout_0.0,1,0.872029958677686,77.27272727272727,0.5398883493473896,0.4695668025658681,15,,
P1,p1_classical_dropout_0.0,dropout_0.0,10,0.8672520661157026,80.68181818181817,0.5544201025596032,0.47467055229040295,7,,
P1,p1_classical_dropout_0.0,dropout_0.0,2,0.8666064049586776,73.86363636363636,0.5773929782784902,0.4672171318760285,11,,
P1,p1_classical_dropout_0.0,dropout_0.0,3,0.8790030991735537,77.27272727272727,0.562522032398444,0.47499953095729536,10,,
P1,p1_classical_dropout_0.0,dropout_0.0,4,0.8713842975206612,77.8409090909091,0.527466774559938,0.460894919358767,19,,
P1,p1_classical_dropout_0.0,dropout_0.0,5,0.8698347107438016,69.31818181818183,0.55202689824196,0.46304017763871413,14,,
P1,p1_classical_dropout_0.0,dropout_0.0,6,0.8861053719008264,81.81818181818183,0.5546232767976247,0.4484676535312946,21,,
P1,p1_classical_dropout_0.0,dropout_0.0,7,0.8757747933884298,80.68181818181817,0.551628263352009,0.4722994898374264,14,,
P1,p1_classical_dropout_0.0,dropout_0.0,8,0.8698347107438017,78.4090909090909,0.5539530678437307,0.4873438592140491,13,,
P1,p1_classical_dropout_0.0,dropout_0.0,9,0.8717716942148762,80.11363636363636,0.5638213464846977,0.48945256150685823,11,,
P1,p1_classical_dropout_0.1,dropout_0.1,1,0.8664772727272727,76.70454545454545,0.5442389912330188,0.4807785084614387,15,,
P1,p1_classical_dropout_0.1,dropout_0.1,10,0.8575671487603306,80.68181818181817,0.5494867223959703,0.461026220367505,15,,
P1,p1_classical_dropout_0.1,dropout_0.1,2,0.8782283057851239,73.29545454545455,0.561280467074651,0.4757240701180238,10,,
P1,p1_classical_dropout_0.1,dropout_0.1,3,0.8722882231404958,77.27272727272727,0.5656372322485997,0.48966583838829625,10,,
P1,p1_classical_dropout_0.1,dropout_0.1,4,0.8702221074380165,80.68181818181817,0.5652583351502052,0.45428899045173937,23,,
P1,p1_classical_dropout_0.1,dropout_0.1,5,0.8596332644628099,80.68181818181817,0.5389577601391535,0.47483620506066543,12,,
P1,p1_classical_dropout_0.1,dropout_0.1,6,0.8647985537190083,80.11363636363636,0.5671411787088101,0.48712669427578265,10,,
P1,p1_classical_dropout_0.1,dropout_0.1,7,0.8726756198347108,76.13636363636364,0.5654792179281894,0.468295714029899,14,,
P1,p1_classical_dropout_0.1,dropout_0.1,8,0.8708677685950413,78.4090909090909,0.5493132854883488,0.5136210173368454,9,,
P1,p1_classical_dropout_0.1,dropout_0.1,9,0.8827479338842975,79.54545454545455,0.5413131513274633,0.4655493979270642,21,,
P1,p1_classical_dropout_0.2,dropout_0.2,1,0.8662190082644627,74.43181818181817,0.5461525452824739,0.474108215707999,17,,
P1,p1_classical_dropout_0.2,dropout_0.2,10,0.8819731404958678,78.4090909090909,0.5785769085471447,0.46155162900686264,19,,
P1,p1_classical_dropout_0.2,dropout_0.2,2,0.8733212809917356,81.25,0.5927846981928899,0.4826188672047395,17,,
P1,p1_classical_dropout_0.2,dropout_0.2,3,0.8575671487603306,81.81818181818183,0.556257320367373,0.4751102752410449,19,,
P1,p1_classical_dropout_0.2,dropout_0.2,4,0.8689307851239669,77.8409090909091,0.5843504189298703,0.4859546892918073,11,,
P1,p1_classical_dropout_0.2,dropout_0.2,5,0.8734504132231405,75.56818181818183,0.5769493360932056,0.5003052319471653,10,,
P1,p1_classical_dropout_0.2,dropout_0.2,6,0.8747417355371901,78.4090909090909,0.5619674248191027,0.47680699481413913,24,,
P1,p1_classical_dropout_0.2,dropout_0.2,7,0.8713842975206612,76.13636363636364,0.5238592260158978,0.48305367277218747,14,,
P1,p1_classical_dropout_0.2,dropout_0.2,8,0.8721590909090908,78.97727272727273,0.5801693150630364,0.5028040133989774,10,,
P1,p1_classical_dropout_0.2,dropout_0.2,9,0.8588584710743802,79.54545454545455,0.6046652842026491,0.49046544157541716,10,,
P1,p1_classical_dropout_0.3,dropout_0.3,1,0.8729338842975207,74.43181818181817,0.5575004942142047,0.5131134597154764,10,,
P1,p1_classical_dropout_0.3,dropout_0.3,10,0.8735795454545455,77.8409090909091,0.5871477415928474,0.5118409257668716,7,,
P1,p1_classical_dropout_0.3,dropout_0.3,2,0.8698347107438016,78.4090909090909,0.537454709238731,0.470550286082121,19,,
P1,p1_classical_dropout_0.3,dropout_0.3,3,0.8740960743801653,80.11363636363636,0.567168824088115,0.4719702899456024,11,,
P1,p1_classical_dropout_0.3,dropout_0.3,4,0.8731921487603306,81.81818181818183,0.5795549696454635,0.4810635562126453,7,,
P1,p1_classical_dropout_0.3,dropout_0.3,5,0.8668646694214877,80.68181818181817,0.5853954383960137,0.4781370506836818,9,,
P1,p1_classical_dropout_0.3,dropout_0.3,6,0.8842975206611571,79.54545454545455,0.570614742888854,0.46324889132609737,18,,
P1,p1_classical_dropout_0.3,dropout_0.3,7,0.868801652892562,81.81818181818183,0.5910295023367955,0.49764431439913237,11,,
